symbol,time,open,high,low,close,volume
ETH-EUR,2024-01-17T17:13:00,2325.94,2326.2,2325.11,2326.2,5.04305756
ETH-EUR,2024-01-17T17:12:00,2325.68,2325.94,2324.35,2325.94,3.15496359
ETH-EUR,2024-01-17T17:11:00,2325.55,2326.14,2324.6,2326.14,4.47340466
ETH-EUR,2024-01-17T17:10:00,2326.75,2326.75,2324.87,2325.32,0.35761
ETH-EUR,2024-01-17T17:09:00,2326.59,2327.59,2326.24,2326.74,8.65801323
ETH-EUR,2024-01-17T17:08:00,2323.83,2325.78,2323.58,2325.78,6.83055561
ETH-EUR,2024-01-17T17:07:00,2325.69,2326.83,2325.39,2326.06,9.91939788
ETH-EUR,2024-01-17T17:06:00,2325.32,2328.38,2322.19,2328.38,2.88801391
ETH-EUR,2024-01-17T17:05:00,2325.28,2325.28,2323.21,2323.26,1.23733452
ETH-EUR,2024-01-17T17:04:00,2326.55,2327.82,2325.39,2327.82,0.74377528
ETH-EUR,2024-01-17T17:03:00,2326.49,2326.86,2325.36,2325.36,1.66573314
ETH-EUR,2024-01-17T17:02:00,2329.49,2329.62,2327.18,2327.27,3.79847945
ETH-EUR,2024-01-17T17:01:00,2330.84,2332.49,2329.7,2329.7,4.87218017
ETH-EUR,2024-01-17T17:00:00,2332.59,2333.12,2331.03,2331.03,0.66426897
ETH-EUR,2024-01-17T16:59:00,2332.26,2333.74,2332.25,2333.59,3.92364595
ETH-EUR,2024-01-17T16:58:00,2332.0,2332.19,2331.71,2331.71,4.64502127
ETH-EUR,2024-01-17T16:57:00,2331.23,2331.92,2330.84,2331.76,8.80693753
ETH-EUR,2024-01-17T16:56:00,2333.96,2333.96,2331.42,2331.8,0.62270994
ETH-EUR,2024-01-17T16:55:00,2332.37,2333.58,2332.37,2333.58,7.99181019
ETH-EUR,2024-01-17T16:54:00,2332.88,2332.88,2331.36,2331.36,0.50446156
ETH-EUR,2024-01-17T16:53:00,2331.61,2332.68,2330.62,2332.68,1.52650022
ETH-EUR,2024-01-17T16:52:00,2330.2,2331.88,2329.27,2330.72,13.36299942
